voucher_no,posted,acctno,nominal_name,dr_cr,amount_lcy,memo
JE10-0029,15/06/2026,3000,Share Capital,CR,"$76,416.65",Capital contribution
JE10-0030,07/12/2026,1000,Cash,DR,"$30,565.09",Loan drawdown
JE10-0030,07/12/2026,3000,Share Capital,CR,"$30,565.09",Loan drawdown
JE10-0031,10/06/2026,5100,Salaries Expense,DR,"$91,639.90",Payroll run
JE10-0031,10/06/2026,1000,Cash,CR,"$91,639.90",Payroll run
JE10-0032,12/07/2026,5100,Salaries Expense,DR,"$35,818.85",Payroll run
JE10-0032,12/07/2026,1010,Bank Current Account,CR,"$35,818.85",Payroll run
JE10-0033,06/09/2026,5400,Office Expenses,DR,"$56,322.73",Operating expense
JE10-0033,06/09/2026,1000,Cash,CR,"$56,322.73",Operating expense
JE10-0034,,1000,Cash,DR,"$41,737.45",Depreciation charge
JE10-0034,27/05/2026,5400,Office Expenses,CR,"$41,737.45",Depreciation charge
JE10-0035,10/11/2026,5200,Rent Expense,DR,"$47,508.91",Operating expense
JE10-0035,10/11/2026,2000,Accounts Payable,CR,"$47,508.91",Operating expense
JE10-0036,03/07/2026,1010,Bank Current Account,DR,"$67,990.17",Customer receipt
JE10-0036,03/07/2026,1100,Accounts Receivable,CR,"$67,990.17",Customer receipt
JE10-0037,14/12/2026,5100,Salaries Expense,DR,"$50,834.75",Payroll run
JE10-0037,14/12/2026,1010,Bank Current Account,CR,"$50,834.75",Payroll run
JE10-0038,22/11/2026,1000,Cash,DR,"$73,085.29",Depreciation charge
JE10-0038,22/11/2026,2100,Accrued Liabilities,CR,"$73,085.29",Depreciation charge
JE10-0039,26/06/2026,1000,Cash,DR,"$91,852.04",Loan drawdown
JE10-0039,26/06/2026,1100,Accounts Receivable,CR,"$91,852.04",Loan drawdown
JE10-0040,17/04/2026,1000,Cash,DR,"$9,502.83",Capital contribution
JE10-0040,17/04/2026,3000,Share Capital,CR,"$9,502.83",Capital contribution
JE10-0041,25/08/2026,4200,Other Income,DR,"$35,635.24",Depreciation charge
JE10-0041,25/08/2026,5100,Salaries Expense,CR,"$35,635.24",Depreciation charge
JE10-0042,03/07/2026,1100,Accounts Receivable,DR,"$10,066.51",Depreciation charge
JE10-0042,03/07/2026,2100,Accrued Liabilities,CR,"$10,066.51",Depreciation charge
JE10-0043,15/06/2026,5400,Office Expenses,DR,"$33,188.97",Operating expense
JE10-0043,15/06/2026,1000,Cash,CR,"$33,188.97",Operating expense
JE10-0044,24/08/2026,1010,,DR,"$45,314.02",Customer receipt
JE10-0044,24/08/2026,1100,Accounts Receivable,CR,"$45,314.02",Customer receipt
JE10-0005-COPY,15/07/2026,2000,Accounts Payable,DR,"$7,644.98",Depreciation charge (copy)
JE10-0005-COPY,15/07/2026,2100,Accrued Liabilities,CR,"$7,644.98",Depreciation charge (copy)
JE10-0003-COPY,14/11/2026,1200,Inventory,DR,"$77,277.96",Asset purchase (copy)
JE10-0003-COPY,14/11/2026,2000,Accounts Payable,CR,"$77,277.96",Asset purchase (copy)
