transaction_id,date,account,account_description,posting_amount,comment
JE06-0024,05/03/2026,1100,Accounts Receivable,-18361.70,Customer receipt
JE06-0025,27/09/2026,5300,Utilities Expense,48304.37,Operating expense
JE06-0025,27/09/2026,1000,Cash,-48304.37,Operating expense
JE06-0026,06/03/2026,1000,Cash,56798.82,Depreciation charge
JE06-0026,06/03/2026,1500,Fixed Assets,-56798.82,Depreciation charge
JE06-0027,22/06/2026,2000,Accounts Payable,4294.23,Supplier payment
JE06-0027,22/06/2026,1010,Bank Current Account,-4294.23,Supplier payment
JE06-0028,08/08/2026,1010,Bank Current Account,71514.30,Customer receipt
JE06-0028,08/08/2026,1100,Accounts Receivable,-71514.30,Customer receipt
JE06-0029,15/10/2026,1500,Fixed Assets,35039.71,Depreciation charge
JE06-0029,15/10/2026,2000,Accounts Payable,-35039.71,Depreciation charge
JE06-0030,06/07/2026,5100,Salaries Expense,47850.70,Payroll run
JE06-0030,06/07/2026,1010,Bank Current Account,-47850.70,Payroll run
JE06-0031,28/08/2026,1000,Cash,5099.25,Customer receipt
JE06-0031,28/08/2026,1100,Accounts Receivable,-5099.25,Customer receipt
JE06-0032,09/03/2026,1000,Cash,27188.23,Loan drawdown
JE06-0032,09/03/2026,2200,Loans Payable,-27188.23,Loan drawdown
JE06-0033,,5100,Salaries Expense,8849.03,Payroll run
JE06-0033,27/04/2026,1010,Bank Current Account,-8849.03,Payroll run
JE06-0034,17/07/2026,5100,Salaries Expense,39502.97,Payroll run
JE06-0034,17/07/2026,1000,,-39502.97,
JE06-0035,08/06/2026,1000,Cash,94480.73,Loan drawdown
JE06-0035,08/06/2026,2200,Loans Payable,-94480.73,Loan drawdown
JE06-0036,,1010,Bank Current Account,79745.87,Sales invoice
JE06-0036,11/11/2026,4000,Sales Revenue,-79745.87,Sales invoice
JE06-0037,23/08/2026,2000,Accounts Payable,27360.51,Supplier payment
JE06-0037,23/08/2026,1000,Cash,-27360.51,Supplier payment
JE06-0038,01/02/2026,2000,Accounts Payable,58515.78,Supplier payment
JE06-0038,01/02/2026,1010,Bank Current Account,-58515.78,Supplier payment
JE06-0039,20/12/2026,1500,Fixed Assets,52204.08,Asset purchase
JE06-0039,20/12/2026,1000,Cash,-52204.08,Asset purchase
JE06-0040,02/02/2026,3000,Share Capital,22690.18,Depreciation charge
JE06-0040,02/02/2026,1500,Fixed Assets,-22690.18,Depreciation charge
JE06-0041,20/08/2026,1010,Bank Current Account,6107.26,Customer receipt
JE06-0041,20/08/2026,1100,Accounts Receivable,-6107.26,Customer receipt
JE06-0042,20/01/2026,1000,Cash,27777.15,Depreciation charge
JE06-0042,20/01/2026,1500,Fixed Assets,-27777.15,Depreciation charge
JE06-0037,23/08/2026,2000,Accounts Payable,27360.51,Supplier payment
JE06-0037,23/08/2026,1000,Cash,-27360.51,
JE06-0012-COPY,19/08/2026,5500,Marketing Expense,48245.38,Operating expense (copy)
JE06-0012-COPY,19/08/2026,2000,Accounts Payable,-48245.38,Operating expense (copy)
